Date,Open,High,Low,Close,Adj Close,Volume
2018-11-21,245.369995,245.369995,245.369995,245.369995,238.526901,0
2018-11-23,243.779999,243.779999,243.779999,243.779999,236.981262,0
2018-11-26,247.589996,247.589996,247.589996,247.589996,240.684982,0
2018-11-27,248.399994,248.399994,248.399994,248.399994,241.472397,0
2018-11-28,254.119995,254.119995,254.119995,254.119995,247.032883,0
2018-11-29,253.630005,253.630005,253.630005,253.630005,246.556564,0
2018-11-30,255.740005,255.740005,255.740005,255.740005,248.607712,0
2018-12-03,258.540009,258.540009,258.540009,258.540009,251.329620,0
2018-12-04,250.190002,250.190002,250.190002,250.190002,243.212494,0
2018-12-06,249.880005,249.880005,249.880005,249.880005,242.911133,0
2018-12-07,244.089996,244.089996,244.089996,244.089996,237.282608,0
2018-12-10,244.520004,244.520004,244.520004,244.520004,237.700623,0
2018-12-11,244.449997,244.449997,244.449997,244.449997,237.632568,0
2018-12-12,245.770004,245.770004,245.770004,245.770004,238.915771,0
2018-12-13,245.770004,245.770004,245.770004,245.770004,238.915771,0
2018-12-14,239.880005,239.880005,239.880005,239.880005,234.357178,0
2018-12-17,234.910004,234.910004,234.910004,234.910004,229.501602,0
2018-12-18,234.940002,234.940002,234.940002,234.940002,229.530930,0
2018-12-19,231.350006,231.350006,231.350006,231.350006,226.023575,0
2018-12-20,227.710007,227.710007,227.710007,227.710007,222.467392,0
2018-12-21,223.009995,223.009995,223.009995,223.009995,217.875580,0
2018-12-24,216.979996,216.979996,216.979996,216.979996,211.984406,0
2018-12-26,227.740005,227.740005,227.740005,227.740005,222.496704,0
2018-12-27,229.710007,229.710007,229.710007,229.710007,224.421341,0
2018-12-28,229.460007,229.460007,229.460007,229.460007,224.177109,0
2018-12-31,231.440002,231.440002,231.440002,231.440002,226.111496,0
2019-01-02,231.729996,231.729996,231.729996,231.729996,226.394821,0
2019-01-03,226.050003,226.050003,226.050003,226.050003,220.845581,0
2019-01-04,233.820007,233.820007,233.820007,233.820007,228.436722,0
2019-01-07,235.449997,235.449997,235.449997,235.449997,230.029175,0
2019-01-08,237.740005,237.740005,237.740005,237.740005,232.266449,0
2019-01-09,238.789993,238.789993,238.789993,238.789993,233.292282,0
2019-01-10,239.869995,239.869995,239.869995,239.869995,234.347412,0
2019-01-11,239.830002,239.830002,239.830002,239.830002,234.308350,0
2019-01-14,238.589996,238.589996,238.589996,238.589996,233.096878,0
2019-01-15,241.160004,241.160004,241.160004,241.160004,235.607697,0
2019-01-16,241.699997,241.699997,241.699997,241.699997,236.135284,0
2019-01-17,243.559998,243.559998,243.559998,243.559998,237.952454,0
2019-01-18,246.770004,246.770004,246.770004,246.770004,241.088547,0
2019-01-22,243.289993,243.289993,243.289993,243.289993,237.688660,0
2019-01-23,243.820007,243.820007,243.820007,243.820007,238.206467,0
2019-01-24,244.160004,244.160004,244.160004,244.160004,238.538666,0
2019-01-25,246.240005,246.240005,246.240005,246.240005,240.570770,0
